qid,Len,Lml,Den,Dml,P31,S854,P2093,P212,P957,P407,P495,P577,P1104,P136,P393
,Samskaram,സംസ്കാരം,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/samskaram-549163729008""","""Ananthamurthi U R""",,"""8171301061""",Q36236,Q668,+2021-11-05T00:00:00Z/11,128,Q8261,"""11"""
,Samthriptha Laingika Jeevitham,സംതൃപ്ത ലൈംഗിക ജീവിതം,Malayalam-language self help published by DC Life,ഡിസി ലൈഫ് പ്രസിദ്ധീകരിച്ച മലയാള സ്വയംസഹായ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/samthriptha-laingika-jeevitham""","""Arun B Nair""","""9789354325816""",,Q36236,Q668,+2021-07-16T00:00:00Z/11,160,,"""1"""
,Samudra Vijnanam,സമുദ്ര വിജ്ഞാനം,Malayalam-language science published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ശാസ്ത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/samudra-vijnanam""","""Rajagopal Kammath A""",,,Q36236,Q668,+1970-01-01T00:00:00Z/11,112,Q336,"""2"""
,Samudrathilekku Vazhithettivanna Paralmeen,സമുദ്രത്തിലേക്ക് വഴിതെറ്റിവന്ന പരല്മീന്,Malayalam-language memoirs published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/samudrathilekku-vazhithettivanna-paralmeen""","""O V Vijayan""","""9788171309788""",,Q36236,Q668,+2016-05-31T00:00:00Z/11,40,Q112983,"""4"""
,San Michelinte Katha,സാൻ മൈക്കിളിന്റെ കഥ,Malayalam-language memoirs published by Mathrubhumi Books,മാതൃഭൂമി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/san-michelinte-katha""","""Axel Munthe""","""9788182667914""",,Q36236,Q668,+2016-06-07T00:00:00Z/11,368,,"""6"""
,Sancharasahithyam Vol 1 and 2,സഞ്ചാരസാഹിത്യം വോൾ 1 ആൻഡ് 2,Malayalam-language travel & travelogue published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള യാത്രാവിവരണം,Q7725634,"""https://dcbookstore.com/books/sancharasahithyam-vol-1-and-2""","""Pottekkat S K""",,"""8126406550""",Q36236,Q668,+2022-12-31T00:00:00Z/11,2000,,"""10"""
,Sancharikal Kanda Keralam,സഞ്ചാരികൾ കണ്ട കേരളം,Malayalam-language history published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചരിത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sancharikal-kanda-keralam""","""Velayudhan Panikkassery""","""9788124010532""",,Q36236,Q668,+2017-08-31T00:00:00Z/11,432,Q309,"""5"""
,Sandarbhangal Sandehangal,സന്ദർഭങ്ങൾ സന്ദേഹങ്ങൾ,Malayalam-language society & culture published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള സമൂഹവും സംസ്കാരവും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sandarbhangal-sandehangal""","""Anand""","""9788126476893""",,Q36236,Q668,+2026-03-11T00:00:00Z/11,144,Q11042,"""6"""
,Sangeetha Chikitsa : Ariyendathellam,സംഗീത ചികിത്സാ : അറിയേണ്ടതെല്ലാം,Malayalam-language music published by DC Life,ഡിസി ലൈഫ് പ്രസിദ്ധീകരിച്ച മലയാള സംഗീത പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sangeetha-chikitsa-ariyendathellam""","""S Bhagyalakshmi""","""9788126450619""",,Q36236,Q668,+2017-12-28T00:00:00Z/11,208,Q638,"""2"""
,Sangeethanighandu,സംഗീതനിഘണ്ടു,Malayalam-language music published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള സംഗീത പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sangeethanikhandu""","""Sunil V T""","""9788126436002""",,Q36236,Q668,+1970-01-01T00:00:00Z/11,827,Q638,"""1"""
,Sangyajalakam,സംഗയാജാലകം,Malayalam-language mathematics published by DC Refernce : an Imprint of DC Books,ഡിസി റഫറൻസ് (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള ഗണിത പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sangyajalakam""","""Ravikumar T S""","""9788126466801""",,Q36236,Q668,+2017-07-28T00:00:00Z/11,216,Q395,"""1"""
,Sankaracharyar,ശങ്കരാചാര്യർ,Malayalam-language autobiography & biography published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ആത്മകഥയും ജീവചരിത്രവും,Q7725634,"""https://dcbookstore.com/books/sankaracharyar""","""Warrier P A""","""9788171520794""",,Q36236,Q668,+2015-01-01T00:00:00Z/11,84,Q36279,"""8"""
,Sankhyakalude Pusthakam,സംഖ്യകളുടെ പുസ്തകം,Malayalam-language mathematics published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഗണിത പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sankhyakalude-pusthakam""","""S. Sivadas""",,,Q36236,Q668,+2015-06-01T00:00:00Z/11,100,Q395,"""1"""
,Santhaalahera,സന്താലഹേര,Malayalam-language collections & selected works published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള സമാഹാരങ്ങളും തിരഞ്ഞെടുത്ത കൃതികളും,Q7725634,"""https://dcbookstore.com/books/santhaalahera""","""Jayaprakash Ankamali""",,,Q36236,Q668,+1970-01-01T00:00:00Z/11,964,Q20540385,"""1"""
,Santhi Vishranthiyude Saphalyam,ശാന്തി വിശ്രാന്തിയുടെ സാഫല്യം,Malayalam-language spirituality & mysticism published by Silence,സൈലൻസ് പ്രസിദ്ധീകരിച്ച മലയാള ആധ്യാത്മികതയും മിസ്റ്റിസിസവും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/santhi-vishranthiyude-saphalyam""","""Osho""",,,Q36236,Q668,+2015-06-01T00:00:00Z/11,174,Q168796,"""1"""
,Santhosham Ningalude Srushtiyanu,സന്തോഷം നിങ്ങളുടെ സൃഷ്ടിയാണ്,Malayalam-language self help published by DC Life,ഡിസി ലൈഫ് പ്രസിദ്ധീകരിച്ച മലയാള സ്വയംസഹായ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/santhosham-ningalude-srushtiyanu""","""Swami Rama""",,"""8126436034""",Q36236,Q668,+2021-02-26T00:00:00Z/11,120,Q3739522,"""5"""
,Sanumashinte Vicharayathrakal,സണുമാഷിന്റെ വിചാരയാത്രകൾ,Malayalam-language articles published by Saikatham Books,സൈകതം ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ലേഖനങ്ങൾ,Q7725634,"""https://dcbookstore.com/books/sanumashinte-vicharayathrakal""","""M K Sanu""","""9789388343602""",,Q36236,Q668,+2019-06-04T00:00:00Z/11,160,Q35760,"""1"""
,Sanyasiyepole Chinthikku : Think Like a Monk,സന്യാസിയെപോലെ ചിന്തിക്കു : തിങ്ക് ലൈക് എ മോങ്ക്,Malayalam-language self help published by Manjul Publishing,മഞ്ജുൽ പബ്ലിഷിംഗ് പ്രസിദ്ധീകരിച്ച മലയാള സ്വയംസഹായ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sanyasiyepole-chinthikku--think-like-a-monk""","""Jay Shetty""","""9789390085606""",,Q36236,Q668,+2022-05-09T00:00:00Z/11,396,Q3739522,"""1"""
,Sapiens (malayalam),സ്പൈൻസ് (മലയാളം),Malayalam-language study published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള പഠനം,Q7725634,"""https://dcbookstore.com/books/sapiens-malayalam""","""Yuval Noah Harari""","""9789362543295""",,Q36236,Q668,+2026-01-30T00:00:00Z/11,576,Q193495,"""3"""
,Sarasvati - Nadhi Ozhukum Vazhi ( the Lost River ),സരസ്വതി - നദി ഒഴുകും വഴി ( ദി ലോസ്റ്റ് റിവർ ),Malayalam-language history published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചരിത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sarasvati-nadhi-ozhukum-vazhi""","""Michel Danino""",,,Q36236,Q668,+2013-10-01T00:00:00Z/11,350,Q309,"""1"""
,Saraswathisthothravali,സരസ്വതീസ്തോത്രവലി,Malayalam-language religion published by Sadhana : an Imprint of DC Books,സാധന (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള മതം സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/saraswathisthothravali""","""Sukesh P D""","""9788126440252""",,Q36236,Q668,+1970-01-01T00:00:00Z/11,302,Q9174,"""1"""
,Saraswathy Ramayanam (print on Demand),സരസ്വതി രാമായണം (പ്രിന്റ് ഓൺ ഡിമാൻഡ്),Malayalam-language spirituality & mysticism published by Expressions a Self Publishing Service of DC Press,എക്സ്പ്രഷൻസ് (ഡിസി പ്രസ്) പ്രസിദ്ധീകരിച്ച മലയാള ആധ്യാത്മികതയും മിസ്റ്റിസിസവും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/saraswathy-ramayanam""","""Parameswaran Ayyappan""","""9789384786311""",,Q36236,Q668,+2015-06-01T00:00:00Z/11,94,Q168796,"""1"""
,Sardarji Phalithangal,സർദാർജി ഫലിതങ്ങൾ,Malayalam-language humour published by DC Life,ഡിസി ലൈഫ് പ്രസിദ്ധീകരിച്ച മലയാള ഹാസ്യസാഹിത്യം,Q7725634,"""https://dcbookstore.com/books/sardarji-phalithangal""","""Santosh Pali""","""9788126425907""",,Q36236,Q668,+2015-06-30T00:00:00Z/11,104,Q60548032,"""3"""
,Sareerasaasthram,ശരീരശാസ്ത്രം,Malayalam-language novel published by Mathrubhumi Books,മാതൃഭൂമി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/sareerasaasthram""","""Benyamin""","""9788182679313""",,Q36236,Q668,+2018-06-05T00:00:00Z/11,236,Q8261,"""6"""
,Sareerasametham Maraine Drivil,ശരീരസമേതം മറൈൻ ഡ്രൈവിൽ,Malayalam-language poetry published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള കവിത,Q7725634,"""https://dcbookstore.com/books/sareerasametham-maraine-drivil""","""Sudheesh Kottebram""",,"""8126438924""",Q36236,Q668,+2012-11-14T00:00:00Z/11,103,Q482,"""1"""
,Sareerasivan-arivum Viswasavum,ശരീരസാവന്-അറിവും വിശ്വാസവും,Malayalam-language study published by Sadhana : an Imprint of DC Books,സാധന (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള പഠനം,Q7725634,"""https://dcbookstore.com/books/sareerasivan-arivum-viswasavum""","""Narayana Bhattathiri""","""9789354820144""",,Q36236,Q668,+2022-05-21T00:00:00Z/11,168,Q193495,"""2"""
,Sareerathinte Samoohikabhavanakal,ശരീരത്തിന്റെ സാമൂഹികഭാവനകൾ,Malayalam-language study published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള പഠനം,Q7725634,"""https://dcbookstore.com/books/sareerathinte-samoohikabhavanakal""","""G. Ushakumari""","""9789354821844""",,Q36236,Q668,+2025-06-17T00:00:00Z/11,200,Q193495,"""3"""
,Sargasahithi (malayalam Sem-i Mg Uty),സർഗാസാഹിതി (മലയാളം ശേം-ഐ യിംഗ്‌ ഉറ്റി),Malayalam-language academics published by MG Uty,എംജി യൂണിവേഴ്സിറ്റി പ്രസിദ്ധീകരിച്ച മലയാള അക്കാദമിക് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sargasahithi-malayalam-sem-i-mg-uty-""",,"""9789388807869""",,Q36236,Q668,+2019-03-27T00:00:00Z/11,104,Q193495,"""1"""
,Sargasrushtiyile Rasavidyakal,സർഗസൃഷ്ടിയിലെ രാസവിദ്യകൾ,Malayalam-language literary criticism & study published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള സാഹിത്യവിമർശന പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sargasrushtiyile-rasavidyakal""","""Shabu Kilithattil""","""9788126448876""",,Q36236,Q668,+2013-11-14T00:00:00Z/11,200,Q58854,"""1"""
,Sargonmadham,സർഗോന്മാദം,Malayalam-language essays published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഉപന്യാസങ്ങൾ,Q7725634,"""https://dcbookstore.com/books/sargonmadham""","""Jeevan Job Thomas""","""9789354322686""",,Q36236,Q668,+2021-11-01T00:00:00Z/11,236,,"""2"""
,Sarkkar,സർക്കാർ,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/sarkkar""","""King Johns""","""9789354829796""",,Q36236,Q668,+2023-05-30T00:00:00Z/11,216,Q8261,"""2"""
,Sarpayajnam,സർപ്പയജ്ഞം,Malayalam-language children's literature published by Mambazham : an Imprint of DC Books,മാമ്പഴം (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള ബാലസാഹിത്യം,Q7725634,"""https://dcbookstore.com/books/sarpayajnam""","""Vaikom Muhammad Basheer""",,"""8171304028""",Q36236,Q668,+2025-06-27T00:00:00Z/11,80,Q131539,"""17"""
,Sarthovinte Suvishesham,സർത്തോവിന്റെ സുവിശേഷം,Malayalam-language memoirs published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/sarthovinte-suvishesham""","""Joseph Sartho P.A""","""9789354328275""",,Q36236,Q668,+2025-05-31T00:00:00Z/11,192,Q112983,"""3"""
,Sarva Manushyarudeyum Rakshakku Vendiyulla Kripa *,സർവ മനുഷ്യരുടെയും രക്ഷക്ക് വേണ്ടിയുള്ള കൃപ *,Malayalam-language literary fiction published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള സാഹിത്യ ഫിക്ഷൻ,Q7725634,"""https://dcbookstore.com/books/sarva-manushyarudeyum-rakshakku-vendiyulla-kripa""","""Jissa Jose""",,,Q36236,Q668,+2023-11-27T00:00:00Z/11,144,,"""4"""
,Sarvamgalakshanasasthram,സർവാംഗലക്ഷണശാസ്ത്രം,Malayalam-language astrology published by Sadhana : an Imprint of DC Books,സാധന (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള ജ്യോതിഷ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sarvamgalakshanasasthram""","""Pithambaran N""","""9788126466597""",,Q36236,Q668,+2025-06-17T00:00:00Z/11,416,Q34362,"""2"""
,Sarvaraajyakozhikale Sangadikkuvin,സർവ്വരാജ്യകോഴികളെ സംഘടിക്കുവിൻ,Malayalam-language short stories published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/sarvaraajyakozhikale-sangadikkuvin""","""P Kesavadev""","""9788126439201""",,Q36236,Q668,+2012-01-12T00:00:00Z/11,112,Q49084,"""1"""
,Sarvaroga Vijnanakosham - 3 Volume,സർവ്വരോഗ വിജ്ഞാനകോശം - 3 വോളിയം,Malayalam-language medical science published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള വൈദ്യശാസ്ത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sarvaroga-vijnanakosham""",,"""9788126452545""",,Q36236,Q668,+2015-03-30T00:00:00Z/11,3082,,"""1"""
,Sasthrakathasagaram,ശാസ്ത്രകഥാസാഗരം,Malayalam-language children's literature published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ബാലസാഹിത്യം,Q7725634,"""https://dcbookstore.com/books/sasthrakathasagaram""","""S. Sivadas""","""9788126466672""",,Q36236,Q668,+2016-06-29T00:00:00Z/11,320,,"""1"""
,Sasthrathinte Kaliyarangil,ശാസ്ത്രത്തിന്റെ കാളിയരങ്ങിൽ,Malayalam-language science published by Mambazham : an Imprint of DC Books,മാമ്പഴം (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള ശാസ്ത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sasthrathinte-kaliyarangil""","""Pradeep Kannankode""","""9789354322143""",,Q36236,Q668,+2023-11-30T00:00:00Z/11,88,,"""2"""
,Sasya Sasthrapadana Projectukal,സസ്യ ശാസ്ത്രപഠന പ്രൊജെക്ടുകൾ,Malayalam-language science published by DC Refernce : an Imprint of DC Books,ഡിസി റഫറൻസ് (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള ശാസ്ത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sasya-sasthrapadana-projectukal""","""Arunkumar N S""","""9788126418084""",,Q36236,Q668,+2017-09-02T00:00:00Z/11,100,Q336,"""2"""
,Sasyalokathe Visheshangal,സസ്യലോകത്തെ വിശേഷങ്ങൾ,Malayalam-language environment & nature published by DC Refernce : an Imprint of DC Books,ഡിസി റഫറൻസ് (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള പരിസ്ഥിതിയും പ്രകൃതിയും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sasyalokathe-visheshangal""","""Rajagopal Kammath A""",,"""8126409797""",Q36236,Q668,+2017-02-02T00:00:00Z/11,96,,"""3"""
,Sasyangalude Vargeekaranavum Shasthranamangalum,സസ്യങ്ങളുടെ വർഗ്ഗീകരണവും ശാസ്ത്രനാമങ്ങളും,Malayalam-language science published by DC Refernce : an Imprint of DC Books,ഡിസി റഫറൻസ് (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള ശാസ്ത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sasyangalude-vargeekaranavum-shasthranamangalum""","""Ajithkumar N""","""9789387169104""",,Q36236,Q668,+2019-10-10T00:00:00Z/11,190,Q336,"""1"""
,Satchidanandante Kavithakal 1965 - 2015,സച്ചിദാനന്ദന്റെ കവിതകൾ 1965 - 2015,Malayalam-language poetry published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള കവിത,Q7725634,"""https://dcbookstore.com/books/satchidanandante-kavithakal-1965-2015""","""Satchidanandan""","""9788126466849""",,Q36236,Q668,+2016-05-10T00:00:00Z/11,1314,Q482,"""1"""
,Sathru Santhasamudram Randu Natakangal,ശത്രു ശാന്തസമുദ്രം രണ്ട് നാടകങ്ങൾ,Malayalam-language drama published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നാടകം,Q7725634,"""https://dcbookstore.com/books/sathru-santhasamudram-randu-natakangal""","""Prema Jayakumar""","""9788124017708""",,Q36236,Q668,+2015-06-01T00:00:00Z/11,74,Q25379,"""1"""
,Sathyamayum Lokame,സത്യമായും ലോകമേ,Malayalam-language poetry published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള കവിത,Q7725634,"""https://dcbookstore.com/books/sathyamayum-lokame""","""T.P Vinod""","""9789354820885""",,Q36236,Q668,+2023-08-17T00:00:00Z/11,84,Q482,"""2"""
,Sathyasayi Babayude Vachassukal,സത്യസായി ബാബയുടെ വചസ്സുകൾ,Malayalam-language spirituality & mysticism published by Sadhana : an Imprint of DC Books,സാധന (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള ആധ്യാത്മികതയും മിസ്റ്റിസിസവും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sathyasayi-babayude-vachassukal""","""M Subhadra Nair""","""9789352822959""",,Q36236,Q668,+2018-11-28T00:00:00Z/11,104,Q168796,"""1"""
,Savari,സവാരി,Malayalam-language children's literature published by Mambazham : an Imprint of DC Books,മാമ്പഴം (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള ബാലസാഹിത്യം,Q7725634,"""https://dcbookstore.com/books/savari""","""Nandanar""","""9789353909574""",,Q36236,Q668,+2023-12-27T00:00:00Z/11,126,Q131539,"""4"""
,Savithri Rajeevante Kavithakal,സാവിത്രി രാജീവന്റെ കവിതകൾ,Malayalam-language poetry published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള കവിത,Q7725634,"""https://dcbookstore.com/books/savithri-rajeevante-kavithakal""","""Savithri Rajeevan""","""9789354328619""",,Q36236,Q668,+2022-07-08T00:00:00Z/11,228,Q482,"""1"""
,Savithriyute Aranhanam,സാവിത്രിയുടെ ആരംഭണം,Malayalam-language short stories published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/savithriyute-aranhanam""","""M. Mukundan""",,,Q36236,Q668,+2015-06-01T00:00:00Z/11,84,Q49084,"""5"""
,Savushun,സ്വുശുണ്,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/savushun""","""Simin Daneshvar""","""9788126439133""",,Q36236,Q668,+2012-11-05T00:00:00Z/11,286,,"""1"""
,Scandinavian Nadodikathakal,സ്കാന്ഡിനേവിയൻ നാടോടിക്കഥകൾ,Malayalam-language epics & myths published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഇതിഹാസങ്ങളും പുരാണങ്ങളും,Q7725634,"""https://dcbookstore.com/books/scandinavian-nadodikathakal""",,"""9788126476008""",,Q36236,Q668,+2017-07-10T00:00:00Z/11,1000,Q9134,"""1"""
,Scarlet Letter,സ്കാർലെറ് ലെറ്റർ,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/scarlet-letter""","""Nathaniel Hawthorne""","""9788126473960""",,Q36236,Q668,+2016-10-19T00:00:00Z/11,192,Q8261,"""1"""
,Scavenger,സ്കെവേങ്ങേരി,Malayalam-language indian fiction published by Mathrubhumi Books,മാതൃഭൂമി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഇന്ത്യൻ ഫിക്ഷൻ,Q7725634,"""https://dcbookstore.com/books/scavenger""","""G. R. Indugopan""","""9789355492838""",,Q36236,Q668,+2022-10-05T00:00:00Z/11,145,,"""4"""
,School Academic Calendar,സ്കൂൾ അക്കാഡമിക് കലണ്ടർ,Malayalam-language reference published by DC Refernce : an Imprint of DC Books,ഡിസി റഫറൻസ് (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള റഫറൻസ് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/school-academic-calendar""",,"""9789352826827""",,Q36236,Q668,+2019-11-14T00:00:00Z/11,520,Q13136,"""1"""
,School Kalolsavam Ariyendathellam,സ്കൂൾ കലോത്സവം അറിയേണ്ടതെല്ലാം,Malayalam-language reference published by DC Refernce : an Imprint of DC Books,ഡിസി റഫറൻസ് (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള റഫറൻസ് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/school-kalolsavam-ariyendathellam""","""Sanjeev S Pillai""","""9788126449484""",,Q36236,Q668,+2014-01-06T00:00:00Z/11,120,Q13136,"""1"""
,Dc Quiz - Science,ഡിസി ക്വിസ് - സയൻസ്,Malayalam-language reference published by DC Refernce : an Imprint of DC Books,ഡിസി റഫറൻസ് (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള റഫറൻസ് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/science""","""Sthuthi Sasidharan""","""9789389445145""",,Q36236,Q668,+2022-05-25T00:00:00Z/11,160,Q13136,"""2"""
,Season Finale,സീസൺ ഫിനാലെ,Malayalam-language short stories published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/season-finale""","""Civic John""","""9789354322082""",,Q36236,Q668,+2021-12-27T00:00:00Z/11,120,Q49084,"""3"""
,Sebastian Knight Yadhartha Jeevitham,സെബാസ്റ്റ്യൻ കണൈറ് യഥാർത്ഥ ജീവിതം,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/sebastian-knightinte-yadhartha-jeevitham""","""Vladimir Nabokov""","""9788126435814""",,Q36236,Q668,+2012-04-10T00:00:00Z/11,160,Q8261,"""1"""
,Sebastiante Kavithakal,സെബാസ്റ്റിൻറെ കവിതകൾ,Malayalam-language poetry published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള കവിത,Q7725634,"""https://dcbookstore.com/books/sebastiante-kavithakal""","""Sebastian""","""9788126429349""",,Q36236,Q668,+2016-11-26T00:00:00Z/11,188,Q482,"""3"""
,Seetha,സീത,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/seetha""","""M. Mukundan""","""9788126409587""",,Q36236,Q668,+2025-08-25T00:00:00Z/11,112,Q8261,"""8"""
,Seethamuthal Sathyavathivare,സീതമുതൽ സത്യവതിവരെ,Malayalam-language religion published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള മതം സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/seethamuthal-sathayavathivare""","""Lalithambika Antharjanam""","""9788126436347""",,Q36236,Q668,+2025-03-17T00:00:00Z/11,88,Q9174,"""6"""
,Seethayum Pardayum Seershakamillatha Kavithakalum,സീതയും പർദയും ശീർഷകമില്ലാത്ത കവിതകളും,Malayalam-language poetry published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള കവിത,Q7725634,"""https://dcbookstore.com/books/seethayum-pardayum-seershakamallatha-kavithakalum""","""Pavithran Theekkuni""",,,Q36236,Q668,+2018-05-25T00:00:00Z/11,104,Q482,"""1"""
,Seethihaaji : Kadhakalum Phalithangalum,സീതിഹാജി : കഥകളും ഫലിതങ്ങളും,Malayalam-language humour published by Litmus,ലിറ്റ്മസ് പ്രസിദ്ധീകരിച്ച മലയാള ഹാസ്യസാഹിത്യം,Q7725634,"""https://dcbookstore.com/books/seethihaaji-kadhakalum-phalithangalum""","""Umar Tharamel""",,"""8126435585""",Q36236,Q668,+1970-01-01T00:00:00Z/11,48,Q60548032,"""2"""
